threshold,GA,FR,FA,GR,FAR,FRR,GAR,GRR
0.0,17,0,1379,548,0.7156201349247535,0.0,1.0,0.2843798650752465
0.05,17,0,1012,915,0.5251686559418786,0.0,1.0,0.47483134405812144
0.1,17,0,653,1274,0.3388687078360145,0.0,1.0,0.6611312921639855
0.15000000000000002,17,0,358,1569,0.18578100674623768,0.0,1.0,0.8142189932537623
0.2,17,0,175,1752,0.0908147379346134,0.0,1.0,0.9091852620653866
0.25,17,0,75,1852,0.038920601971977165,0.0,1.0,0.9610793980280228
0.30000000000000004,17,0,37,1890,0.019200830306175403,0.0,1.0,0.9807991696938246
0.35000000000000003,17,0,20,1907,0.010378827192527244,0.0,1.0,0.9896211728074727
0.4,17,0,8,1919,0.0041515308770108976,0.0,1.0,0.9958484691229891
0.45,17,0,7,1920,0.0036325895173845357,0.0,1.0,0.9963674104826155
0.5,17,0,4,1923,0.0020757654385054488,0.0,1.0,0.9979242345614946
0.55,17,0,3,1924,0.0015568240788790867,0.0,1.0,0.9984431759211209
0.6000000000000001,17,0,3,1924,0.0015568240788790867,0.0,1.0,0.9984431759211209
0.65,17,0,3,1924,0.0015568240788790867,0.0,1.0,0.9984431759211209
0.7000000000000001,17,0,2,1925,0.0010378827192527244,0.0,1.0,0.9989621172807472
0.75,15,2,1,1926,0.0005189413596263622,0.11764705882352941,0.8823529411764706,0.9994810586403736
0.8,10,7,1,1926,0.0005189413596263622,0.4117647058823529,0.5882352941176471,0.9994810586403736
0.8500000000000001,4,13,0,1927,0.0,0.7647058823529411,0.23529411764705888,1.0
0.9,0,17,0,1927,0.0,1.0,0.0,1.0
0.9500000000000001,0,17,0,1927,0.0,1.0,0.0,1.0
1.0,0,17,0,1927,0.0,1.0,0.0,1.0
